file_name,train_length,test_length,anomaly_length,period,vq_period
122_ECG3,8000,22000,101,167,164
123_ECG4,5000,195000,301,454,475
124_ECG4,5000,25000,201,167,166
125_ECG4,5000,25000,101,167,166
126_ECG4,8000,22000,101,167,166
127_GP711MarkerLFM5z1,5000,7000,45,217,219
128_GP711MarkerLFM5z2,5000,7000,214,217,219
129_GP711MarkerLFM5z3,5000,7000,46,217,219
130_GP711MarkerLFM5z4,4000,8000,119,217,219
131_GP711MarkerLFM5z5,5000,7000,105,217,219
132_InternalBleeding10,3200,4301,31,154,155
133_InternalBleeding14,2800,4701,28,154,155
134_InternalBleeding15,1700,5901,171,173,175
135_InternalBleeding16,1200,6301,13,183,182
136_InternalBleeding17,1600,5900,112,182,182
137_InternalBleeding18,2300,5200,103,183,182
138_InternalBleeding19,3000,4500,11,183,182
139_InternalBleeding20,2700,4800,161,183,182
140_InternalBleeding4,1000,6321,359,179,180
141_InternalBleeding5,4000,3415,171,173,177
142_InternalBleeding6,1500,6154,156,152,152
143_InternalBleeding8,2500,5001,110,167,167
144_InternalBleeding9,4200,3301,83,175,175
145_Lab2Cmac011215EPG1,5000,25001,51,34,38
146_Lab2Cmac011215EPG2,5000,24950,71,34,38
147_Lab2Cmac011215EPG3,5000,24950,31,34,38
148_Lab2Cmac011215EPG4,6000,24066,131,35,38
149_Lab2Cmac011215EPG5,7000,22826,131,35,38
150_Lab2Cmac011215EPG6,7000,22859,231,35,38
151_MesoplodonDensirostris,10000,14667,161,49,203
152_PowerDemand1,9000,20931,337,168,25
153_PowerDemand2,14000,15931,361,168,25
154_PowerDemand3,16000,13931,73,168,25
155_PowerDemand4,18000,11931,73,168,25
156_TkeepFifthMARS,3500,7834,98,98,98
157_TkeepFirstMARS,3500,7906,16,98,98
158_TkeepForthMARS,3500,7808,98,98,98
159_TkeepSecondMARS,3500,7888,11,98,98
160_TkeepThirdMARS,3500,7808,99,98,98
161_WalkingAceleration1,1500,5184,232,113,113
162_WalkingAceleration5,2700,3984,60,113,113
163_apneaecg2,10000,28501,151,360,95
164_apneaecg3,5000,33379,101,360,95
165_apneaecg4,6000,32269,101,360,95
166_apneaecg,10000,28501,69,360,95
167_gait1,20000,45000,301,313,319
168_gait2,22000,43000,301,313,319
169_gait3,24500,40500,601,313,319
170_gaitHunt1,18500,45500,111,331,337
171_gaitHunt2,18500,45500,651,331,337
172_gaitHunt3,23400,40600,801,328,337
173_insectEPG1,3000,7001,31,26,26
174_insectEPG2,3700,6298,26,26,26
175_insectEPG3,5200,4798,51,26,26
176_insectEPG4,1300,8698,51,26,26
177_insectEPG5,3200,6828,2,26,26
178_ltstdbs30791AI,17555,38568,201,231,224
179_ltstdbs30791AS,23000,32000,201,234,224
180_ltstdbs30791ES,20000,35000,201,233,223
181_park3m,60000,30000,346,356,355
182_qtdbSel1005V,4000,32001,401,184,205
183_qtdbSel100MLII,4000,26000,401,189,183
184_resperation10,48000,147000,1181,470,470
185_resperation11,58000,137000,2,471,475
186_resperation1,100000,100000,153,469,475
187_resperation2,30000,170051,3,468,475
188_resperation2,30000,160050,2,468,475
189_resperation3,45000,145100,2,468,475
190_resperation4,70000,125250,2,469,475
191_resperation9,38000,157000,101,469,475
192_s20101mML2,12000,28000,101,108,99
193_s20101m,10000,30000,101,108,99
194_sddb49,20000,60000,251,276,274
195_sel840mECG1,17000,43000,371,172,165
196_sel840mECG2,20000,37001,371,173,171
197_tiltAPB1,100000,30001,68,238,248
198_tiltAPB2,50000,78767,827,240,248
199_tiltAPB3,40000,89489,371,240,248
200_tiltAPB4,20000,108001,2,243,248
201_CHARISfive,10000,31347,16,33,32
202_CHARISfive,10411,31379,31,33,31
203_CHARISfive,10500,31112,34,33,32
204_CHARISfive,12412,29587,71,33,32
205_CHARISfive,9812,30058,91,33,32
206_CHARISten,25130,16870,61,37,36
207_CHARISten,3165,36705,61,37,39
208_CHARISten,5130,35740,61,37,37
209_Fantasia,19000,73000,301,262,269
210_Italianpowerdemand,36123,83696,97,96,97
211_Italianpowerdemand,38113,81467,97,96,97
212_Italianpowerdemand,8913,21018,25,96,25
213_STAFFIIIDatabase,33211,266789,451,900,878
214_STAFFIIIDatabase,34211,265479,651,900,888
215_STAFFIIIDatabase,36276,263714,651,900,851
216_STAFFIIIDatabase,37216,262674,651,900,883
217_STAFFIIIDatabase,38211,261479,651,900,891
218_STAFFIIIDatabase,41117,258823,651,900,871
219_STAFFIIIDatabase,41612,258228,221,900,872
220_STAFFIIIDatabase,43217,256573,651,900,867
221_STAFFIIIDatabase,45616,252724,1221,900,891
222_mit14046longtermecg,56123,155379,501,99,101
223_mit14046longtermecg,74123,106263,501,99,98
224_mit14046longtermecg,76123,123630,501,99,98
225_mit14046longtermecg,81214,118785,301,99,105
226_mit14046longtermecg,96123,93878,301,183,105
227_mit14134longtermecg,11231,48071,101,232,230
228_mit14134longtermecg,11361,47639,21,133,141
229_mit14134longtermecg,16363,42637,11,64,127
230_mit14134longtermecg,19363,39637,101,106,134
231_mit14134longtermecg,8763,50237,261,238,123
232_mit14134longtermecg,8763,50237,261,238,123
233_mit14157longtermecg,18913,73797,2,113,109
234_mit14157longtermecg,18913,79797,2,115,119
235_mit14157longtermecg,18913,78387,2,114,116
236_mit14157longtermecg,19313,77687,41,115,114
237_mit14157longtermecg,19313,77687,811,105,105
238_mit14157longtermecg,21311,77689,181,115,111
239_taichidbS0715Master,19003,70763,7,152,152
240_taichidbS0715Master,24003,65997,11,153,153
241_taichidbS0715Master,25000,65000,171,153,153
242_tilt12744mtable,100000,186667,261,306,223
243_tilt12744mtable,100000,150001,46,272,223
244_tilt12754table,100013,200249,261,166,162
245_tilt12754table,100211,198536,271,166,166
246_tilt12755mtable,100211,199656,271,237,221
247_tilt12755mtable,50211,149789,81,236,221
248_weallwalk,2000,6432,6,24,27
249_weallwalk,2753,7771,31,24,26
250_weallwalk,2951,7517,7,24,25
